l_leadid,l_source,l_firstname,l_lastname,l_phone,l_email,l_consentsms,l_consentcall,o_attempt_id,o_channel,o_attempted_at,o_status,o_agent_id,violation_type,violation_reason
L-20155,AgentMatch Pro,Megan,Martin,+18765892404,megan.martin11@example.com,FALSE,TRUE,A-1284,sms,2026-05-08 19:35:00,delivered,AGT-110,consent_sms_false,SMS sent to lead that explicitly opted out of SMS (consent_sms=FALSE)
L-20157,AgentMatch Pro,Linda,Smith,+12915622524,linda.smith2@example.com,,TRUE,A-1288,sms,2026-05-13 19:28:00,delivered,AGT-136,consent_sms_missing,SMS sent to lead with no recorded consent_sms value (blank/missing - consent cannot be proven)
L-20131,OfferNest,Emily,White,762-682-9806,emily.white98@example.com,FALSE,TRUE,A-1228,sms,2026-05-08 12:24:00,delivered,AGT-129,consent_sms_false,SMS sent to lead that explicitly opted out of SMS (consent_sms=FALSE)
L-20158,HomeFlow,Megan,Wilson,3733425405,,FALSE,TRUE,A-1290,sms,2026-05-08 14:18:00,delivered,AGT-131,consent_sms_false,SMS sent to lead that explicitly opted out of SMS (consent_sms=FALSE)
L-20154,HomeFlow,Ashley,Clark,8288097499,ashley.clark58@example.com,,TRUE,A-1282,sms,2026-05-04 17:35:00,delivered,AGT-125,consent_sms_missing,SMS sent to lead with no recorded consent_sms value (blank/missing - consent cannot be proven)
L-20127,OfferNest,Linda,Young,543-491-8444,linda.young64@example.com,,TRUE,A-1218,sms,2026-05-08 16:19:00,delivered,AGT-113,consent_sms_missing,SMS sent to lead with no recorded consent_sms value (blank/missing - consent cannot be proven)
L-20156,SellFast Direct,Nancy,Brown,293-205-6050,nancy.brown12@example.com,,TRUE,A-1286,sms,2026-05-09 19:37:00,delivered,AGT-136,consent_sms_missing,SMS sent to lead with no recorded consent_sms value (blank/missing - consent cannot be proven)
L-20159,AgentMatch Pro,John,Davis,(938) 840-9123,john.davis39@example.com,,TRUE,A-1292,sms,2026-05-13 10:47:00,delivered,AGT-125,consent_sms_missing,SMS sent to lead with no recorded consent_sms value (blank/missing - consent cannot be proven)
L-20152,LeadBridge,Megan,Young,487-756-1539,megan.young76@example.com,FALSE,TRUE,A-1278,sms,2026-05-17 12:12:00,delivered,AGT-111,consent_sms_false,SMS sent to lead that explicitly opted out of SMS (consent_sms=FALSE)
L-20153,ListingLoop,Megan,Allen,+17535397288,megan.allen65@example.com,,TRUE,A-1280,sms,2026-05-06 19:55:00,delivered,AGT-115,consent_sms_missing,SMS sent to lead with no recorded consent_sms value (blank/missing - consent cannot be proven)
