l_leadid,l_source,l_receivedat,l_firstname,l_lastname,l_phone,l_email,l_consentsms,l_consentcall,l_propertyzip,l_leadtype,l_status,o_attempt_id,o_lead_id,o_channel,o_attempted_at,o_status,o_agent_id,error
L-20020,AgentMatch Pro,2026-05-15 13:35:00,Eric,Rodriguez,365-959-8239,,TRUE,TRUE,32801,seller,new,A-1041,L-20020,call,2026-05-15 13:42:00,no_answer,AGT-138,
L-20020,AgentMatch Pro,2026-05-15 13:35:00,Eric,Rodriguez,365-959-8239,,TRUE,TRUE,32801,seller,new,A-1042,L-20020,sms,2026-05-15 13:58:00,delivered,AGT-138,
L-20020,AgentMatch Pro,2026-05-15 13:35:00,Eric,Rodriguez,365-959-8239,,TRUE,TRUE,32801,seller,new,A-1043,L-20020,call,2026-05-15 17:42:00,completed,AGT-138,
L-20133,ListingLoop,2026-05-10 20:28:00,Tony,Jackson,7174079792,tony.jackson8@example.com,TRUE,TRUE,30318,buyer,new,A-1231,L-20133,call,2026-05-10 20:37:00,no_answer,AGT-120,
L-20133,ListingLoop,2026-05-10 20:28:00,Tony,Jackson,7174079792,tony.jackson8@example.com,TRUE,TRUE,30318,buyer,new,A-1232,L-20133,sms,2026-05-10 20:52:00,delivered,AGT-120,
L-20133,ListingLoop,2026-05-10 20:28:00,Tony,Jackson,7174079792,tony.jackson8@example.com,TRUE,TRUE,30318,buyer,new,A-1233,L-20133,call,2026-05-10 22:37:00,no_answer,AGT-120,
L-20030,SellFast Direct,2026-05-05 18:18:00,Brian,Taylor,(841) 444-5499,brian.taylor70@example.com,TRUE,TRUE,30318,seller,new,A-1062,L-20030,call,2026-05-05 18:23:00,no_answer,AGT-125,
L-20030,SellFast Direct,2026-05-05 18:18:00,Brian,Taylor,(841) 444-5499,brian.taylor70@example.com,TRUE,TRUE,30318,seller,new,A-1063,L-20030,sms,2026-05-05 18:32:00,delivered,AGT-125,
L-20030,SellFast Direct,2026-05-05 18:18:00,Brian,Taylor,(841) 444-5499,brian.taylor70@example.com,TRUE,TRUE,30318,seller,new,A-1064,L-20030,call,2026-05-05 23:23:00,completed,AGT-125,
L-20058,SellFast Direct,2026-05-05 10:24:00,Matt,Hall,+15094037302,matt.hall90@example.com,TRUE,TRUE,63101,buyer,new,A-1119,L-20058,call,2026-05-05 10:30:00,no_answer,AGT-101,
L-20058,SellFast Direct,2026-05-05 10:24:00,Matt,Hall,+15094037302,matt.hall90@example.com,TRUE,TRUE,63101,buyer,new,A-1120,L-20058,sms,2026-05-05 10:34:00,delivered,AGT-101,
L-20050,OfferNest,2026-05-04 17:38:00,Michael,Young,494.648.8941,michael.young40@example.com,FALSE,TRUE,63101,buyer,new,A-1102,L-20050,call,2026-05-04 17:41:00,voicemail,AGT-115,
