l_leadid,l_source,l_receivedat,l_firstname,l_lastname,l_phone,l_email,l_consentsms,l_consentcall,l_propertyzip,l_leadtype,l_status,firstresponse_duration,firstresponse_type,sms_last_agent,sms_last_status,call_last_agent,call_last_status
L-20020,AgentMatch Pro,2026-05-15 13:35:00,Eric,Rodriguez,365-959-8239,,TRUE,TRUE,32801,seller,new,7,call,AGT-138,delivered,AGT-138,completed
L-20133,ListingLoop,2026-05-10 20:28:00,Tony,Jackson,7174079792,tony.jackson8@example.com,TRUE,TRUE,30318,buyer,new,9,call,AGT-120,delivered,AGT-120,no_answer
L-20030,SellFast Direct,2026-05-05 18:18:00,Brian,Taylor,(841) 444-5499,brian.taylor70@example.com,TRUE,TRUE,30318,seller,new,5,call,AGT-125,delivered,AGT-125,completed
L-20058,SellFast Direct,2026-05-05 10:24:00,Matt,Hall,+15094037302,matt.hall90@example.com,TRUE,TRUE,63101,buyer,new,6,call,AGT-101,delivered,AGT-101,no_answer
L-20050,OfferNest,2026-05-04 17:38:00,Michael,Young,494.648.8941,michael.young40@example.com,FALSE,TRUE,63101,buyer,new,3,call,,,AGT-115,voicemail
L-20179,SellFast Direct,2026-05-11 8:40:00,Kevin,Perez,(475) 842-7786,kevin.perez99@example.com,TRUE,TRUE,43215,seller,new,7,call,,,AGT-130,no_answer
L-20105,AgentMatch Pro,2026-05-14 7:31:00,John,Perez,+14159857825,john.perez83@example.com,FALSE,TRUE,89108,seller,new,12,call,,,AGT-126,completed
L-20132,LeadBridge,2026-05-09 15:28:00,Tony,Jackson,717.407.9792,tony.jackson27@example.com,TRUE,TRUE,89108,seller,new,9,call,,,AGT-137,completed
L-20036,OfferNest,2026-05-15 19:19:00,Daniel,White,403.277.4978,daniel.white16@example.com,FALSE,TRUE,63101,seller,new,10,call,,,AGT-128,completed
L-20155,AgentMatch Pro,2026-05-08 19:15:00,Megan,Martin,+18765892404,megan.martin11@example.com,FALSE,TRUE,30318,buyer,new,12,call,AGT-110,delivered,AGT-110,no_answer
L-20095,HomeFlow,2026-05-05 19:23:00,Diana,Clark,2488716438,diana.clark57@example.com,TRUE,TRUE,28269,seller,new,9,call,AGT-132,delivered,AGT-132,no_answer
L-20028,OfferNest,2026-05-16 13:14:00,Karen,Jones,8719041090,karen.jones67@example.com,TRUE,TRUE,63101,seller,new,3,call,,,AGT-130,completed
L-20114,OfferNest,2026-05-12 20:45:00,Chris,Lewis,+16857318487,chris.lewis18@example.com,TRUE,TRUE,75217,seller,new,,,,,,
L-20090,ListingLoop,2026-05-11 14:39:00,Michael,Johnson,+14936833273,,TRUE,TRUE,85032,seller,new,10,call,AGT-139,delivered,AGT-139,no_answer
L-20151,OfferNest,2026-05-05 16:24:00,Karen,White,+14315072320,karen.white56@example.com,TRUE,TRUE,75217,seller,new,11,call,,,AGT-131,completed
L-20104,OfferNest,2026-05-12 17:10:00,John,Jones,840.510.9740,john.jones22@example.com,TRUE,TRUE,75217,seller,new,11,call,AGT-103,delivered,AGT-103,no_answer
L-20071,ListingLoop,2026-05-04 11:38:00,Megan,Brown,620-562-7929,megan.brown65@example.com,TRUE,TRUE,30318,buyer,new,5,call,AGT-107,delivered,AGT-107,completed
L-20119,OfferNest,2026-05-15 18:32:00,Greg,Lee,+16829532020,greg.lee72@example.com,TRUE,TRUE,89108,buyer,new,,,,,,
L-20033,OfferNest,2026-05-14 13:08:00,Daniel,Martin,7778781444,daniel.martin34@example.com,FALSE,TRUE,28269,seller,new,9,call,,,AGT-121,completed
L-20077,HomeFlow,2026-05-05 13:01:00,Kevin,Anderson,7876147843,kevin.anderson80@example.com,,TRUE,28269,seller,new,8,call,,,AGT-107,completed
